"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All Majority-owned Foreign Affiliates (data for 2009 and forward),Total Assets" 
"Bureau of Economic Analysis" 
"By Country Only (All Countries)  (Millions of Dollars) <br/>"
"    East Timor","n.s."
"    Fiji",106                     
"    French Islands, Indian Ocean","(D)"
"    French Islands, Pacific","(D)"
"    Kiribati","n.s."
"    Laos","n.s."
"    Macau",22641                  
"    Maldives",1                       
"    Marshall Islands",3056                   
"    Micronesia","(D)"
"    Mongolia","(D)"
"    Nauru","n.s."
"    Nepal","(D)"
"    North Korea","n.s."
"    Pakistan",2881                   
"    Palau","(D)"
"    Papua New Guinea","(D)"
"    Samoa",1                       
"    Solomon Islands","n.s."
"    Sri Lanka",597                     
"    Timor-Leste","(D)"
"    Tonga","n.s."
"    Tuvalu","(D)"
"    United Kingdom Islands, Indian Ocean","n.s."
"    United Kingdom Islands, Pacific",27                      
"    Vanuatu",87                      
"    Vietnam",5339                   
"Addenda:",""
"  European Union",11951641              
"  OPEC",297429                 
"Legend / Footnotes:"
"<strong>n.s.</strong>  Not shown.  Data may not be shown for several reasons:"
"• The data appear on another line in this table."
"• The data are not shown in this table but may be available in detailed country- or industry-level tables in this interactive system or in other BEA published tables on direct investment."
"• The data are not available, do not apply, or are not defined."
"<strong>(*)</strong> A nonzero value that rounds to zero."
"<strong>(D)</strong> indicates that the data in the cell have been suppressed to avoid disclosure of data of individual companies."
"Data for the European Union (EU) reflect the EU membership during the reference period. In 1994, the EU was comprised of Belgium, Denmark, France, Germany, Greece, Ireland, Italy, Luxembourg, Netherlands, Portugal, Spain, and the United Kingdom. Beginning with 1995, Austria, Finland, and Sweden were included. Beginning with second quarter 2004, Cyprus, Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, Slovakia, and Slovenia were included. Bulgaria and Romania were included beginning with first quarter 2007 and Croatia was included beginning with third quarter 2013. The United Kingdom was excluded beginning with first quarter 2020."
"OPEC (Organization of Petroleum Exporting Countries): data for this group reflects the OPEC membership during the reference period. This aggregate was discontinued after the 2018 reference year."
"Data for each foreign affiliate are classified by country based on its country of location-that is, the country in which the affiliate's physical assets are located or in which its primary activity is carried out.  For years prior to 1999, the ""<em>International</em>"" category consists of affiliates that have operations spanning more than one country and that are engaged in petroleum shipping, other water transportation, or offshore oil and gas drilling.  Beginning with the data for 1999, data for such affiliates are classified in the country of residence of the operator of the ship or equipment."
"The composition of the ""Other"" categories shown in this table may change from one year to another.  For a geographic area, ""Other"" is a residual that shows a total for all countries not shown separately under that area.  Because the countries shown separately may change over time as the composition of direct investment changes, data for a particular country may be included in an ""Other"" total in one year but excluded from it in another year.  Changes in the countries shown separately generally take place in years covered by benchmark surveys (or censuses) of direct investment, which usually are conducted once every five years."
"Source: U.S. Bureau of Economic Analysis"
"If you have a question about the availability of data, E-mail your question to <a href=""mailto:internationalaccounts@bea.gov"">internationalaccounts@bea.gov</a>"
